1	1
2	2
3	16
4	4
5	16
6	16
7	52
8	8
9	52
10	16
11	52
12	16
13	40
14	52
15	160
16	16
17	52
18	52
19	88
20	20
21	64
22	52
23	160
24	24
25	88
26	40
27	9232
28	52
29	88
30	160
31	9232
32	32
33	100
34	52
35	160
36	52
37	112
38	88
39	304
40	40
41	9232
42	64
43	196
44	52
45	136
46	160
47	9232
48	48
49	148
50	88
51	232
52	52
53	160
54	9232
55	9232
56	56
57	196
58	88
59	304
60	160
61	184
62	9232
63	9232
64	64
65	196
66	100
67	304
68	68
69	208
70	160
71	9232
72	72
73	9232
74	112
75	340
76	88
77	232
78	304
79	808
80	80
81	244
82	9232
83	9232
84	84
85	256
86	196
87	592
88	88
89	304
90	136
91	9232
92	160
93	280
94	9232
95	9232
96	96
97	9232
98	148
99	448
100	100
101	304
102	232
103	9232
104	104
105	808
106	160
107	9232
108	9232
109	9232
110	9232
111	9232
112	112
113	340
114	196
115	520
116	116
117	352
118	304
119	808
120	160
121	9232
122	184
123	628
124	9232
125	9232
126	9232
127	4372
128	128
129	9232
130	196
131	592
132	132
133	400
134	304
135	916
136	136
137	9232
138	208
139	628
140	160
141	424
142	9232
143	9232
144	144
145	9232
146	9232
147	9232
148	148
149	448
150	340
151	1024
152	152
153	520
154	232
155	9232
156	304
157	472
158	808
159	9232
160	160
161	9232
162	244
163	736
164	9232
165	9232
166	9232
167	9232
168	168
169	4372
170	256
171	9232
172	196
173	520
174	592
175	9232
176	176
177	532
178	304
179	808
180	180
181	544
182	9232
183	9232
184	184
185	628
186	280
187	952
188	9232
189	9232
190	9232
191	4372
192	192
193	9232
194	9232
195	9232
196	196
197	592
198	448
199	9232
200	200
201	1024
202	304
203	916
204	232
205	616
206	9232
207	9232
208	208
209	628
210	808
211	952
212	212
213	640
214	9232
215	9232
216	9232
217	736
218	9232
219	1672
220	9232
221	9232
222	9232
223	9232
224	224
225	4372
226	340
227	1024
228	228
229	688
230	520
231	9232
232	232
233	9232
234	352
235	9232
236	304
237	712
238	808
239	9232
240	240
241	724
242	9232
243	9232
244	244
245	736
246	628
247	1672
248	9232
249	952
250	9232
251	9232
252	9232
253	9232
254	4372
255	13120
256	256
257	9232
258	9232
259	9232
260	260
261	784
262	592
263	9232
264	264
265	9232
266	400
267	1204
268	304
269	808
270	916
271	2752
272	272
273	820
274	9232
275	9232
276	276
277	832
278	628
279	1888
280	280
281	952
282	424
283	9232
284	9232
285	9232
286	9232
287	4372
288	288
289	868
290	9232
291	9232
292	9232
293	9232
294	9232
295	2248
296	296
297	9232
298	448
299	9232
300	340
301	904
302	1024
303	3076
304	304
305	916
306	520
307	1384
308	308
309	928
310	9232
311	9232
312	312
313	9232
314	472
315	1600
316	808
317	952
318	9232
319	9232
320	320
321	964
322	9232
323	9232
324	324
325	976
326	736
327	9232
328	9232
329	1672
330	9232
331	1492
332	9232
333	9232
334	9232
335	9232
336	336
337	9232
338	4372
339	4372
340	340
341	1024
342	9232
343	9232
344	344
345	9232
346	520
347	9232
348	592
349	1048
350	9232
351	9232
352	352
353	9232
354	532
355	1600
356	356
357	1072
358	808
359	9232
360	360
361	2752
362	544
363	1636
364	9232
365	9232
366	9232
367	4192
368	368
369	1108
370	628
371	1672
372	372
373	1120
374	952
375	2536
376	9232
377	9232
378	9232
379	2752
380	9232
381	9232
382	4372
383	13120
384	384
385	1156
386	9232
387	9232
388	9232
389	9232
390	9232
391	9232
392	392
393	2248
394	592
395	9232
396	448
397	1192
398	9232
399	9232
400	400
401	1204
402	1024
403	1816
404	404
405	1216
406	916
407	2752
408	408
409	1384
410	616
411	9232
412	9232
413	9232
414	9232
415	9232
416	416
417	9232
418	628
419	1888
420	808
421	1264
422	952
423	3220
424	424
425	9232
426	640
427	2752
428	9232
429	9232
430	9232
431	4372
432	9232
433	1300
434	736
435	1960
436	9232
437	9232
438	1672
439	2968
440	9232
441	1492
442	9232
443	2248
444	9232
445	9232
446	9232
447	39364
448	448
449	9232
450	4372
451	4372
452	452
453	1360
454	1024
455	3076
456	456
457	9232
458	688
459	9232
460	520
461	1384
462	9232
463	9232
464	464
465	1396
466	9232
467	9232
468	468
469	1408
470	9232
471	9232
472	472
473	1600
474	712
475	3616
476	808
477	1432
478	9232
479	9232
480	480
481	2752
482	724
483	2176
484	9232
485	9232
486	9232
487	9232
488	488
489	4192
490	736
491	9232
492	628
493	1480
494	1672
495	14308
496	9232
497	1492
498	952
499	2248
500	9232
501	9232
502	9232
503	9232
504	9232
